block,tick,liquidityGross,liquidityNet
21714243,1729,135464984101874872168,135464984101874872168
21714243,1734,4059455318117420985000,4059455318117420985000
21714243,1739,12505701497246615586966128,-12505701497246615586966128
21714243,1744,675258735919306033450677,-675258735919306033450677
21714243,1749,72387736103770716462096,-72387736103770716462096
21715243,1728,21207767597322315199911,-21207767597322315199911
21715243,1738,21457222384553403639842328,3505748755179767473441866
21715243,1743,118704167717371781652463,-118704167717371781652463
21715243,1748,135464984101874872168,-135464984101874872168
21716243,1727,21207767597322315199911,-21207767597322315199911
21716243,1733,4059455318117420985000,4059455318117420985000
21716243,1751,10032673124721074678,-10032673124721074678
21717243,1727,135464984101874872168,135464984101874872168
21717243,1734,4881737796743900467949851,4881737796743900467949851
21717243,1741,118704167717371781652463,-118704167717371781652463
21718243,1726,21207767597322315199911,-21207767597322315199911
21718243,1733,7746037413395591013171855,7746037413395591013171855
21718243,1747,72387736103770716462096,-72387736103770716462096
21719243,1732,4059455318117420985000,4059455318117420985000
21719243,1746,2020078845739440057168989,2019807915771236307424653
21720243,1732,4059455318117420985000,4059455318117420985000
21720243,1746,2020078845739440057168989,2019807915771236307424653
21721243,1732,4059455318117420985000,4059455318117420985000
21721243,1746,2020078845739440057168989,2019807915771236307424653
21722243,1738,7154272004802280849218486,7154272004802280849218486
21723243,1732,4059455318117420985000,4059455318117420985000
21723243,1746,2020078845739440057168989,2019807915771236307424653
21724243,1727,135464984101874872168,135464984101874872168
21724243,1734,4790391085293989794186236,4790391085293989794186236
21724243,1741,7318659890565566503695754,-7227292454473738758046144
21725243,1737,6210846856450870421658180,6200332952383090275613156
21726243,1735,118704167717371781652463,118704167717371781652463
21726243,1742,675258735919306033450677,-675258735919306033450677
21726243,1749,4912302255427528961543891,-4912302255427528961543891
21727243,1735,118704167717371781652463,118704167717371781652463
21727243,1742,675258735919306033450677,-675258735919306033450677
21727243,1749,4912302255427528961543891,-4912302255427528961543891
21728243,1736,1970419946725569731401262,-1825644474518028298477070
21728243,1743,2970458605035665680875,-2970458605035665680875
21728243,1750,10032673124721074678,-10032673124721074678
21728243,1757,131474532384059835959,-131474532384059835959
21729243,1732,4059455318117420985000,4059455318117420985000
21729243,1739,4136455221069589833532214,4136455221069589833532214
21729243,1746,2019943380755338182296821,2019943380755338182296821
21729243,1753,668909575488042514349759,-668909575488042514349759
21730243,1738,2499318911155761954204,2499318911155761954204
21730243,1745,303470822541263550288,303470822541263550288
21731243,1738,2499318911155761954204,2499318911155761954204
21731243,1745,303470822541263550288,303470822541263550288
21732243,1738,2499318911155761954204,2499318911155761954204
21732243,1745,303470822541263550288,303470822541263550288
21733243,1732,4059455318117420985000,4059455318117420985000
21733243,1739,4136455221069589833532214,4136455221069589833532214
21733243,1746,2066474238566642198933433,819486167390299064022741
21733243,1753,1101918088088844054679435,-1101918088088844054679435
21734243,1738,2499318911155761954204,2499318911155761954204
21734243,1745,303470822541263550288,303470822541263550288
21735243,1738,2499318911155761954204,2499318911155761954204
21735243,1745,303470822541263550288,303470822541263550288
21736243,1738,2499318911155761954204,2499318911155761954204
21736243,1745,712344447889001738162322,-712344447889001738162322
21737243,1738,2499318911155761954204,2499318911155761954204
21737243,1745,712344447889001738162322,-712344447889001738162322
21738243,1732,4059455318117420985000,4059455318117420985000
21738243,1746,5578270022894521266544965,-2692309616937580003588791
21738243,1753,1101918088088844054679435,-1101918088088844054679435
21739243,1732,4059455318117420985000,4059455318117420985000
21739243,1746,5578270022894521266544965,-2692309616937580003588791
21739243,1753,1101918088088844054679435,-1101918088088844054679435
21740243,1738,2499318911155761954204,2499318911155761954204
21740243,1745,712344447889001738162322,-712344447889001738162322
21741243,1738,2499318911155761954204,2499318911155761954204
21741243,1745,712344447889001738162322,-712344447889001738162322
21742243,1738,2499318911155761954204,2499318911155761954204
21742243,1745,712344447889001738162322,-712344447889001738162322
21743243,1737,5388426566274132858471,-5125477501506013186553
21743243,1744,8456955071302970629712400,8456955071302970629712400
21743243,1751,2984962556088481663663,-2984962556088481663663
21744243,1742,4059455318117420985000,-4059455318117420985000
21744243,1749,3902330565049859870395481,-3902330565049859870395481
21745243,1736,72387736103770716462096,72387736103770716462096
21745243,1743,4147102742378161440788142,4141161825168090109426392
21745243,1750,10032673124721074678,-10032673124721074678
21745243,1757,131474532384059835959,-131474532384059835959
21746243,1738,2499318911155761954204,2499318911155761954204
21746243,1745,2277810357878351978934705,853121462100348502610061
21746243,1752,1565465909989350240772383,-1565465909989350240772383
21747243,1732,4059455318117420985000,4059455318117420985000
21747243,1746,5587112486751596406585354,-2701152080794655143629180
21747243,1753,1101918088088844054679435,-1101918088088844054679435
21748243,1738,2499318911155761954204,2499318911155761954204
21748243,1745,2277810357878351978934705,853121462100348502610061
21748243,1752,1565465909989350240772383,-1565465909989350240772383
21749243,1738,2499318911155761954204,2499318911155761954204
21749243,1745,2277810357878351978934705,853121462100348502610061
21749243,1752,1565465909989350240772383,-1565465909989350240772383
21750243,1738,2499318911155761954204,2499318911155761954204
21750243,1745,2277810357878351978934705,853121462100348502610061
21750243,1752,1565465909989350240772383,-1565465909989350240772383
21751243,1747,7194196806465361070486451,-7188226881353184107159125
21751243,1768,2384817494895981386889,-2384817494895981386889
21752243,1734,2892358874672190779247070,2892358874672190779247070
21752243,1748,6203582872616999581848831,-6203582872616999581848831
21752243,1755,92645579990669015888996,-92645579990669015888996
21753243,1734,2892358874672190779247070,2892358874672190779247070
21753243,1748,6203582872616999581848831,-6203582872616999581848831
21753243,1755,92645579990669015888996,-92645579990669015888996
21754243,1734,2892358874672190779247070,2892358874672190779247070
21754243,1748,6203582872616999581848831,-6203582872616999581848831
21754243,1755,92645579990669015888996,-92645579990669015888996
21755243,1734,2892358874672190779247070,2892358874672190779247070
21755243,1748,6203582872616999581848831,-6203582872616999581848831
21755243,1755,92645579990669015888996,-92645579990669015888996
21756243,1732,4059455318117420985000,4059455318117420985000
21756243,1746,7646563075595470213326918,7646563075595470213326918
21756243,1753,1234760359871618954712849,-1234760359871618954712849
21757243,1732,4059455318117420985000,4059455318117420985000
21757243,1746,7646563075595470213326918,7646563075595470213326918
21757243,1753,1234760359871618954712849,-1234760359871618954712849
21758243,1737,5388426566274132858471,-5125477501506013186553
21758243,1744,671294392982938495736648,671294392982938495736648
21758243,1751,2984962556088481663663,-2984962556088481663663
21758243,1758,671111399837975984081770,-671111399837975984081770
21759243,1738,2499318911155761954204,2499318911155761954204
21759243,1745,2277884687324146113445195,2277884687324146113445195
21759243,1752,2293903363619109795886855,-837028456359590685657911
21760243,1737,5388426566274132858471,-5125477501506013186553
21760243,1744,7043415607447795955566677,7043415607447795955566677
21760243,1751,114140205775252676777237,-114140205775252676777237
21761243,1723,2970458605035665680875,2970458605035665680875
21761243,1737,5388426566274132858471,-5125477501506013186553
21761243,1744,7043415607447795955566677,7043415607447795955566677
21761243,1751,114140205775252676777237,-114140205775252676777237
21761243,1758,131474532384059835959,-131474532384059835959
21762243,1742,4059455318117420985000,-4059455318117420985000
21762243,1749,3902330565049859870395481,-3902330565049859870395481
21763243,1699,3045045225508899020,3045045225508899020
21764243,1723,2970458605035665680875,2970458605035665680875
21764243,1737,5388426566274132858471,-5125477501506013186553
21764243,1744,6374506031959753441216918,6374506031959753441216918
21764243,1751,10032673124721074678,-10032673124721074678
21765243,1723,2970458605035665680875,2970458605035665680875
21765243,1737,5388426566274132858471,-5125477501506013186553
21765243,1744,2970458605035665680875,-2970458605035665680875
21766243,1729,727600273886986519073748,727600273886986519073748
21766243,1743,2970458605035665680875,-2970458605035665680875
21766243,1750,1086030828130233781039,-1086030828130233781039
21766243,1757,131474532384059835959,-131474532384059835959
21767243,1731,1028642826516173454282535,-426557721257799583864961
21767243,1738,2499318911155761954204,2499318911155761954204
21767243,1745,2277884687324146113445195,2277884687324146113445195
21767243,1752,1565465909989350240772383,-1565465909989350240772383
21768243,1734,2892358874672190779247070,2892358874672190779247070
21768243,1748,6203582872616999581848831,-6203582872616999581848831
21769243,1742,4059455318117420985000,-4059455318117420985000
21769243,1749,6203582872616999581848831,-6203582872616999581848831
21770243,1734,2892358874672190779247070,2892358874672190779247070
21770243,1748,6203582872616999581848831,-6203582872616999581848831
21771243,1729,727600273886986519073748,727600273886986519073748
21771243,1743,2970458605035665680875,-2970458605035665680875
21771243,1750,3976834773814422215458900,-3976834773814422215458900
21772243,1731,1028642826516173454282535,-426557721257799583864961
21772243,1745,1565465909989350240772383,1565465909989350240772383
21772243,1752,415182758404439611986024,-415182758404439611986024
21773243,1723,2970458605035665680875,2970458605035665680875
21773243,1737,5388426566274132858471,-5125477501506013186553
21773243,1744,6374506031959753441216918,6374506031959753441216918
21773243,1751,415182758404439611986024,-415182758404439611986024
21773243,1758,131474532384059835959,-131474532384059835959
21774243,1731,301042552629186935208787,301042552629186935208787
21774243,1745,1565465909989350240772383,1565465909989350240772383
21774243,1752,4393137130655315659631466,-4393137130655315659631466
21775243,1732,733740205149474779291164,733740205149474779291164
21775243,1746,10659893748245162172362994,10659893748245162172362994
21775243,1753,565850784383576440363090,-565850784383576440363090
21776243,1727,441936387669343526609643,-441936387669343526609643
21776243,1734,3797137814756617004132761,2337776315093902287520433
21776243,1741,175098190253068866579527,-175098190253068866579527
21776243,1748,7349961613707227303301097,-5057204131526771860396565
21777243,1731,301042552629186935208787,301042552629186935208787
21778243,1742,4059455318117420985000,-4059455318117420985000
21778243,1749,3976834773814422215458900,-3976834773814422215458900
21778243,1756,1146378741090227721452266,-1146378741090227721452266
21779243,1742,4059455318117420985000,-4059455318117420985000
21779243,1749,3976834773814422215458900,-3976834773814422215458900
21779243,1756,1146378741090227721452266,-1146378741090227721452266
21780243,1737,5388426566274132858471,-5125477501506013186553
21780243,1744,7892562010616202084733316,7892562010616202084733316
21780243,1751,415182758404439611986024,-415182758404439611986024
21781243,1742,4059455318117420985000,-4059455318117420985000
21781243,1749,3976834773814422215458900,-3976834773814422215458900
21781243,1756,1146378741090227721452266,-1146378741090227721452266
21782243,1734,3622001188919937252739250,2162716560424444305754890
21782243,1748,7461363281555683466130754,-5168605799375228023226222
21783243,1747,135827234338863381697077,135827234338863381697077
21783243,1768,2384817494895981386889,-2384817494895981386889
21784243,1747,135827234338863381697077,135827234338863381697077
21784243,1768,2384817494895981386889,-2384817494895981386889
21785243,1734,3622001188919937252739250,2162716560424444305754890
21785243,1748,6314984540465455744678488,-6314984540465455744678488
21786243,1734,2892358874672190779247070,2892358874672190779247070
21786243,1748,6203582872616999581848831,-6203582872616999581848831
21787243,1737,5388426566274132858471,-5125477501506013186553
21787243,1744,2384817494895981386889,2384817494895981386889
21787243,1751,415182758404439611986024,-415182758404439611986024
21792243,1732,4059455318117420985000,4059455318117420985000
21792243,1746,501755666182311664617657,501755666182311664617657
21792243,1753,7659188613216969842352471,-7515816279558769908737573
21792243,1760,3904615976845277960626622,-3904615976845277960626622
21793243,1742,4059455318117420985000,-4059455318117420985000
21793243,1749,4122455832533300150806056,3973447415004175460679218
21794243,1747,601899715552704389708343,601899715552704389708343
21794243,1754,143335646923459845116015,-143335646923459845116015
21794243,1768,2384817494895981386889,-2384817494895981386889
21795243,1737,5388426566274132858471,-5125477501506013186553
21795243,1744,2384817494895981386889,2384817494895981386889
21795243,1751,13833936617379748338435841,13605656205829242984881367
21795243,1758,1310842195359624859516448,-1310842195359624859516448
21796243,1737,5388426566274132858471,-5125477501506013186553
21796243,1744,2384817494895981386889,2384817494895981386889
21796243,1751,13833936617379748338435841,13605656205829242984881367
21796243,1758,1310842195359624859516448,-1310842195359624859516448
21797243,1752,12408954216244870802142156,-12408954216244870802142156
21798243,1752,12408954216244870802142156,-12408954216244870802142156
21799243,1737,5256952033890073022512,-5256952033890073022512
21799243,1744,2384817494895981386889,2384817494895981386889
21799243,1751,13833936617379748338435841,13605656205829242984881367
21799243,1758,1310842195359624859516448,-1310842195359624859516448
21800243,1743,15771854103405344745004,9830936893334013383254
21800243,1750,10031616853021191365367796,9097299828937248881783186
21800243,1757,2425894380572710272504547,-2425894380572710272504547
21800243,1764,12801395498369679064129,-12801395498369679064129
21801243,1737,5256952033890073022512,-5256952033890073022512
21801243,1744,2384817494895981386889,2384817494895981386889
21801243,1751,13833936617379748338435841,13605656205829242984881367
21801243,1758,1310842195359624859516448,-1310842195359624859516448
21802243,1746,185659451983726540176993,185659451983726540176993
21802243,1753,160439406046087098485042,160439406046087098485042
21802243,1760,3904615976845277960626622,-3904615976845277960626622
21802243,1767,2525038629186485137490,-2525038629186485137490
21803243,1747,469057443769929489674929,469057443769929489674929
21803243,1754,167919551926953952455675,-118751741919965737776355
21804243,1748,140221134290503750601,140221134290503750601
21804243,1755,1095425363381059468806048,1095425363381059468806048
21804243,1762,88753239216987131677593,-88753239216987131677593
21804243,1776,3116534278867979742624,-3116534278867979742624
21805243,1748,140221134290503750601,140221134290503750601
21805243,1755,1095425363381059468806048,1095425363381059468806048
21805243,1762,88753239216987131677593,-88753239216987131677593
21805243,1776,3116534278867979742624,-3116534278867979742624
21806243,1747,469057443769929489674929,469057443769929489674929
21806243,1754,167919551926953952455675,-118751741919965737776355
21807243,1747,466072481213841008011266,466072481213841008011266
21807243,1754,167919551926953952455675,-118751741919965737776355
21808243,1747,466072481213841008011266,466072481213841008011266
21808243,1754,167919551926953952455675,-118751741919965737776355
21809243,1748,140221134290503750601,140221134290503750601
21809243,1755,1095425363381059468806048,1095425363381059468806048
21809243,1762,88753239216987131677593,-88753239216987131677593
21809243,1776,3116534278867979742624,-3116534278867979742624
21810243,1748,140221134290503750601,140221134290503750601
21810243,1755,1095425363381059468806048,1095425363381059468806048
21810243,1762,88753239216987131677593,-88753239216987131677593
21810243,1776,3116534278867979742624,-3116534278867979742624
21811243,1743,15771854103405344745004,9830936893334013383254
21811243,1750,2895047654023670533335168,1960730629939728049750558
21811243,1757,3521319743953769741310595,-3521319743953769741310595
21811243,1764,12801395498369679064129,-12801395498369679064129
21812243,1748,140221134290503750601,140221134290503750601
21812243,1755,1095425363381059468806048,1095425363381059468806048
21812243,1762,88753239216987131677593,-88753239216987131677593
21812243,1776,3116534278867979742624,-3116534278867979742624
21813243,1748,140221134290503750601,140221134290503750601
21813243,1755,1095425363381059468806048,1095425363381059468806048
21813243,1762,88753239216987131677593,-88753239216987131677593
21813243,1776,3116534278867979742624,-3116534278867979742624
21814243,1748,140221134290503750601,140221134290503750601
21814243,1755,1095425363381059468806048,1095425363381059468806048
21814243,1762,88753239216987131677593,-88753239216987131677593
21814243,1776,3116534278867979742624,-3116534278867979742624
21815243,1748,140221134290503750601,140221134290503750601
21815243,1755,1095425363381059468806048,1095425363381059468806048
21815243,1762,88753239216987131677593,-88753239216987131677593
21815243,1776,3116534278867979742624,-3116534278867979742624
21816243,1748,140221134290503750601,140221134290503750601
21816243,1755,1095425363381059468806048,1095425363381059468806048
21816243,1762,88753239216987131677593,-88753239216987131677593
21816243,1776,3116534278867979742624,-3116534278867979742624
21817243,1754,649042410673549795180164,362371116826630104948134
21818243,1748,140221134290503750601,140221134290503750601
21818243,1755,1095425363381059468806048,1095425363381059468806048
21818243,1762,88753239216987131677593,-88753239216987131677593
21818243,1776,3116534278867979742624,-3116534278867979742624
21819243,1748,140221134290503750601,140221134290503750601
21819243,1755,1095425363381059468806048,1095425363381059468806048
21819243,1762,88753239216987131677593,-88753239216987131677593
21819243,1776,3116534278867979742624,-3116534278867979742624
21820243,1748,140221134290503750601,140221134290503750601
21820243,1755,13509844771529137676201960,-11318994044767018738589864
21820243,1762,88753239216987131677593,-88753239216987131677593
21820243,1776,3116534278867979742624,-3116534278867979742624
21821243,1743,15771854103405344745004,9830936893334013383254
21821243,1750,2426980411400840506285586,2424808349744580038723508
21821243,1757,4002442602700365584035084,-4002442602700365584035084
21821243,1764,12801395498369679064129,-12801395498369679064129
21822243,1743,15771854103405344745004,9830936893334013383254
21822243,1750,2426980411400840506285586,2424808349744580038723508
